;DateTime,Flow CMS/m
08/08/2016 15:42:05,-0.000578082120851452
08/08/2016 15:57:05,-0.000561602321638561
08/08/2016 16:12:05,-0.000541174998980645
08/08/2016 16:27:05,-0.000512393333707576
08/08/2016 16:42:05,-0.00047705155725387
08/08/2016 16:57:05,-0.00044420405525396
08/08/2016 17:12:05,-0.000415198320131058
08/08/2016 17:27:05,-0.000383622208769579
08/08/2016 17:42:05,-0.000342842154405865
08/08/2016 17:57:05,-0.000308165374324312
08/08/2016 18:12:05,-0.000280398839720844
08/08/2016 18:27:05,-0.000252761383711143
08/08/2016 18:42:05,-0.000225594640045646
08/08/2016 18:57:05,-0.000199273983763556
08/08/2016 19:12:05,-0.000174039883190616
08/08/2016 19:27:05,-0.000150353715726118
08/08/2016 19:42:05,-0.000129409907186282
08/08/2016 19:57:05,-0.000111394194788563
08/08/2016 20:12:05,-0.000103472659561492
08/08/2016 20:27:05,-8.96359475354838e-05
08/08/2016 20:42:05,-6.97960817070382e-05
08/08/2016 20:57:05,-5.9861244421028e-05
08/08/2016 21:12:05,-5.19078979190046e-05
08/08/2016 21:27:05,-4.57390674026394e-05
08/08/2016 21:42:05,-3.33259734416295e-05
08/08/2016 21:57:05,-2.20717603515696e-05
08/08/2016 22:12:05,-1.93986467076249e-05
08/08/2016 22:27:05,-1.72954782785557e-05
08/08/2016 22:42:05,-1.53262927595071e-05
08/08/2016 22:57:05,-5.6894687923753e-06
08/08/2016 23:12:05,0
08/08/2016 23:27:05,-5.09902383744301e-07
08/08/2016 23:42:05,-4.6744566026394e-06
08/08/2016 23:57:05,-8.6342531205135e-07
08/09/2016 00:12:05,-3.57173524542002e-06
08/09/2016 00:27:05,-5.50691140762467e-06
08/09/2016 00:42:05,0
08/09/2016 00:57:05,-5.18624049922092e-08
08/09/2016 01:12:05,-1.22988085043799e-08
08/09/2016 01:27:05,0
08/09/2016 01:42:05,0
08/09/2016 01:57:05,0
08/09/2016 02:12:05,0
08/09/2016 02:27:05,0
08/09/2016 02:42:05,0
08/09/2016 02:57:05,0
08/09/2016 03:12:05,0
08/09/2016 03:27:05,0
08/09/2016 03:42:05,0
08/09/2016 03:57:05,0
08/09/2016 04:12:05,0
08/09/2016 04:27:05,0
08/09/2016 04:42:05,0
08/09/2016 04:57:05,0
08/09/2016 05:12:05,0
08/09/2016 05:27:05,0
08/09/2016 05:42:05,0
08/09/2016 05:57:05,0
08/09/2016 06:12:05,0
