DateTime (CDT),HWY 183 Temp (C)
08/05/2016 12:15:00,30.91111111
08/05/2016 12:30:00,31.11111111
08/05/2016 12:45:00,31.31111111
08/05/2016 13:00:00,31.5
08/05/2016 13:15:00,31.68888889
08/05/2016 13:30:00,31.83888889
08/05/2016 13:45:00,31.97777778
08/05/2016 14:00:00,32.08888889
08/05/2016 14:15:00,32.22222222
08/05/2016 14:30:00,32.28888889
08/05/2016 14:45:00,32.31111111
08/05/2016 15:00:00,31.97777778
08/05/2016 15:15:00,31.41111111
08/05/2016 15:30:00,30.72222222
08/05/2016 15:45:00,30.4
08/05/2016 16:00:00,30.27777778
08/05/2016 16:15:00,30.07777778
08/05/2016 16:30:00,30.07222222
08/05/2016 16:45:00,30.07222222
08/05/2016 17:00:00,30.12222222
08/05/2016 17:15:00,30.17777778
08/05/2016 17:30:00,30.27222222
08/05/2016 17:45:00,30.33888889
08/05/2016 18:00:00,30.4
08/05/2016 18:15:00,30.46111111
08/05/2016 18:30:00,30.56111111
08/05/2016 18:45:00,30.57222222
08/05/2016 19:00:00,30.58888889
08/05/2016 19:15:00,30.6
08/05/2016 19:30:00,30.61111111
08/05/2016 19:45:00,30.61111111
08/05/2016 20:00:00,30.61111111
08/05/2016 20:15:00,30.6
08/05/2016 20:30:00,30.56111111
08/05/2016 20:45:00,30.55
08/05/2016 21:00:00,30.51111111
08/05/2016 21:15:00,30.46111111
08/05/2016 21:30:00,30.4
08/05/2016 21:45:00,30.35
08/05/2016 22:00:00,30.27777778
08/05/2016 22:15:00,30.17777778
08/05/2016 22:30:00,30.11111111
08/05/2016 22:45:00,30.03888889
08/05/2016 23:00:00,30
08/05/2016 23:15:00,29.86111111
08/05/2016 23:30:00,29.78888889
08/05/2016 23:45:00,29.72222222
08/06/2016 00:00:00,29.63888889
08/06/2016 00:15:00,29.57222222
08/06/2016 00:30:00,29.51111111
08/06/2016 00:45:00,29.5
08/06/2016 01:00:00,29.38888889
08/06/2016 01:15:00,29.32777778
08/06/2016 01:30:00,29.28888889
08/06/2016 01:45:00,29.22777778
08/06/2016 02:00:00,29.17222222
08/06/2016 02:15:00,29.12777778
08/06/2016 02:30:00,29.06111111
08/06/2016 02:45:00,28.98888889
08/06/2016 03:00:00,28.93888889
08/06/2016 03:15:00,28.87222222
08/06/2016 03:30:00,28.86111111
08/06/2016 03:45:00,28.77777778
08/06/2016 04:00:00,28.73888889
08/06/2016 04:15:00,28.67777778
08/06/2016 04:30:00,28.66111111
08/06/2016 04:45:00,28.61111111
08/06/2016 05:00:00,28.57777778
08/06/2016 05:15:00,28.53888889
08/06/2016 05:30:00,28.53888889
08/06/2016 05:45:00,28.47777778
08/06/2016 06:00:00,28.5
08/06/2016 06:15:00,28.45
08/06/2016 06:30:00,28.52222222
08/06/2016 06:45:00,28.48888889
08/06/2016 07:00:00,28.48888889
08/06/2016 07:15:00,28.4
08/06/2016 07:30:00,28.52777778
08/06/2016 07:45:00,28.5
08/06/2016 08:00:00,28.53888889
08/06/2016 08:15:00,28.65
08/06/2016 08:30:00,28.68888889
08/06/2016 08:45:00,28.78888889
08/06/2016 09:00:00,28.87222222
08/06/2016 09:15:00,28.93888889
08/06/2016 09:30:00,29.17222222
08/06/2016 09:45:00,29.35
08/06/2016 10:00:00,29.57777778
08/06/2016 10:15:00,29.67777778
08/06/2016 10:30:00,29.82777778
08/06/2016 10:45:00,30.07777778
08/06/2016 11:00:00,30.32222222
08/06/2016 11:15:00,30.52777778
08/06/2016 11:30:00,30.72222222
08/06/2016 11:45:00,31.07222222
08/06/2016 12:00:00,31.32222222
08/06/2016 12:15:00,31.48888889
08/06/2016 12:30:00,31.41111111
08/06/2016 12:45:00,31.48888889
08/06/2016 13:00:00,31.2
08/06/2016 13:15:00,30.96111111
08/06/2016 13:30:00,30.71111111
08/06/2016 13:45:00,30.47222222
08/06/2016 14:00:00,30.32222222
08/06/2016 14:15:00,30.27222222
08/06/2016 14:30:00,30.31111111
08/06/2016 14:45:00,30.22777778
08/06/2016 15:00:00,30.22777778
08/06/2016 15:15:00,30.27222222
08/06/2016 15:30:00,30.33888889
08/06/2016 15:45:00,30.46111111
08/06/2016 16:00:00,30.52777778
08/06/2016 16:15:00,30.67222222
08/06/2016 16:30:00,30.8
08/06/2016 16:45:00,30.91111111
08/06/2016 17:00:00,31.08888889
08/06/2016 17:15:00,31.23888889
08/06/2016 17:30:00,31.32222222
08/06/2016 17:45:00,31.43888889
08/06/2016 18:00:00,31.53888889
08/06/2016 18:15:00,31.61111111
08/06/2016 18:30:00,31.65
08/06/2016 18:45:00,31.66111111
08/06/2016 19:00:00,31.66111111
08/06/2016 19:15:00,31.66111111
08/06/2016 19:30:00,31.62222222
08/06/2016 19:45:00,31.53888889
08/06/2016 20:00:00,31.46111111
08/06/2016 20:15:00,31.38888889
08/06/2016 20:30:00,31.31111111
08/06/2016 20:45:00,31.22777778
08/06/2016 21:00:00,31.12777778
08/06/2016 21:15:00,31.05
08/06/2016 21:30:00,30.98888889
08/06/2016 21:45:00,30.92222222
08/06/2016 22:00:00,30.87777778
08/06/2016 22:15:00,30.82777778
08/06/2016 22:30:00,30.77222222
08/06/2016 22:45:00,30.75
08/06/2016 23:00:00,30.67777778
08/06/2016 23:15:00,30.62777778
08/06/2016 23:30:00,30.56111111
08/06/2016 23:45:00,30.5
08/07/2016 00:00:00,30.42222222
08/07/2016 00:15:00,30.35
08/07/2016 00:30:00,30.26111111
08/07/2016 00:45:00,30.18888889
08/07/2016 01:00:00,30.11111111
08/07/2016 01:15:00,30.02777778
08/07/2016 01:30:00,29.95
08/07/2016 01:45:00,29.9
08/07/2016 02:00:00,29.83888889
08/07/2016 02:15:00,29.78888889
08/07/2016 02:30:00,29.75
08/07/2016 02:45:00,29.7
08/07/2016 03:00:00,29.63888889
08/07/2016 03:15:00,29.58888889
08/07/2016 03:30:00,29.55
08/07/2016 03:45:00,29.5
08/07/2016 04:00:00,29.46111111
08/07/2016 04:15:00,29.42777778
08/07/2016 04:30:00,29.46111111
08/07/2016 04:45:00,29.52777778
08/07/2016 05:00:00,29.55
08/07/2016 05:15:00,29.62222222
08/07/2016 05:30:00,29.67777778
08/07/2016 05:45:00,29.67777778
08/07/2016 06:00:00,29.62222222
08/07/2016 06:15:00,29.53888889
