;Date	Time	CMS/Length
8/7/2016	11:45	-9.10906E-05
8/7/2016	12:00	-0.000100201
8/7/2016	12:15	-0.000103862
8/7/2016	12:30	-0.000102192
8/7/2016	12:45	-0.00010609
8/7/2016	13:00	-0.000114883
8/7/2016	13:15	-0.000119212
8/7/2016	13:30	-0.000128328
8/7/2016	13:45	-0.000123509
8/7/2016	14:00	-0.000133106
8/7/2016	14:15	-0.00013422
8/7/2016	14:30	-0.00014007
8/7/2016	14:45	-0.000146714
8/7/2016	15:00	-0.000149498
8/7/2016	15:15	-0.000157779
8/7/2016	15:30	-0.000166861
8/7/2016	15:45	-0.000171594
8/7/2016	16:00	-0.000182584
8/7/2016	16:15	-0.000189267
8/7/2016	16:30	-0.000198177
8/7/2016	16:45	-0.000209403
8/7/2016	17:00	-0.000217199
8/7/2016	17:15	-0.000226109
8/7/2016	17:30	-0.000233349
8/7/2016	17:45	-0.00023326
8/7/2016	18:00	-0.000245043
8/7/2016	18:15	-0.000246157
8/7/2016	18:30	-0.000246157
8/7/2016	18:45	-0.00024198
8/7/2016	19:00	-0.000237804
8/7/2016	19:15	-0.000237302
8/7/2016	19:30	-0.000221565
8/7/2016	19:45	-0.000202679
8/7/2016	20:00	-0.00018151
8/7/2016	20:15	-0.000153145
8/7/2016	20:30	-0.000118018
8/7/2016	20:45	-7.00993E-05
8/7/2016	21:00	-2.67721E-05
8/7/2016	21:15	3.19416E-05
8/7/2016	21:30	7.74211E-05
8/7/2016	21:45	0.000117725
8/7/2016	22:00	0.000142739
8/7/2016	22:15	0.000172448
8/7/2016	22:30	0.000182274
8/7/2016	22:45	0.000185582
8/7/2016	23:00	0.000162054
8/7/2016	23:15	6.54011E-05
8/7/2016	23:30	-0.00010621
8/7/2016	23:45	-0.000378912
8/8/2016	0:00	-0.000706972
8/8/2016	0:15	-0.001038602
8/8/2016	0:30	-0.001308927
8/8/2016	0:45	-0.001534459
8/8/2016	1:00	-0.0017152
8/8/2016	1:15	-0.001821005
8/8/2016	1:30	-0.001815436
8/8/2016	1:45	-0.001678711
8/8/2016	2:00	-0.001466758
8/8/2016	2:15	-0.001246401
8/8/2016	2:30	-0.001037132
8/8/2016	2:45	-0.000847304
8/8/2016	3:00	-0.000704157
8/8/2016	3:15	-0.000580994
8/8/2016	3:30	-0.000493243
8/8/2016	3:45	-0.000400836
8/8/2016	4:00	-0.000323701
8/8/2016	4:15	-0.0002635
8/8/2016	4:30	-0.000227036
8/8/2016	4:45	-0.000192859
8/8/2016	5:00	-0.000174201
8/8/2016	5:15	-0.000156865
8/8/2016	5:30	-0.000143935
8/8/2016	5:45	-0.00014494
8/8/2016	6:00	-0.00014022
8/8/2016	6:15	-0.000141028
8/8/2016	6:30	-0.000150837
8/8/2016	6:45	-0.000156236
8/8/2016	7:00	-0.000169668
8/8/2016	7:15	-0.000174081
8/8/2016	7:30	-0.000178182
8/8/2016	7:45	-0.000181214
8/8/2016	8:00	-0.000172923
8/8/2016	8:15	-0.000163158
8/8/2016	8:30	-0.000156281
8/8/2016	8:45	-0.00013968
8/8/2016	9:00	-0.000126388
8/8/2016	9:15	-0.000120257
8/8/2016	9:30	-0.00011045
8/8/2016	9:45	-0.000101986
8/8/2016	10:00	-9.40364E-05
8/8/2016	10:15	-9.30396E-05
8/8/2016	10:30	-9.3538E-05
8/8/2016	10:45	-8.37928E-05
8/8/2016	11:00	-8.1195E-05
8/8/2016	11:15	-8.39487E-05
8/8/2016	11:30	-8.20609E-05
8/8/2016	11:45	-8.09583E-05
8/8/2016	12:00	-8.7276E-05
8/8/2016	12:15	-8.74403E-05
8/8/2016	12:30	-8.75711E-05
8/8/2016	12:45	-8.87656E-05
8/8/2016	13:00	-9.02051E-05
8/8/2016	13:15	-9.27166E-05
