;Date	Time	CMS
8/3/2016	9:30	2.438976315
8/3/2016	9:35	2.449042091
8/3/2016	9:40	2.459107867
8/3/2016	9:45	2.469173643
8/3/2016	9:50	2.479239419
8/3/2016	9:55	2.489305195
8/3/2016	10:00	2.499370971
8/3/2016	10:05	2.509436747
8/3/2016	10:10	2.519502523
8/3/2016	10:15	2.5295683
8/3/2016	10:20	2.539634076
8/3/2016	10:25	2.549699852
8/3/2016	10:30	2.559765628
8/3/2016	10:35	2.569831404
8/3/2016	10:40	2.57989718
8/3/2016	10:45	2.589962956
8/3/2016	10:50	2.600028732
8/3/2016	10:55	2.610094508
8/3/2016	11:00	2.620160284
8/3/2016	11:05	2.63022606
8/3/2016	11:10	2.640291836
8/3/2016	11:15	2.650357612
8/3/2016	11:20	2.660423388
8/3/2016	11:25	2.670489164
8/3/2016	11:30	2.68055494
8/3/2016	11:35	2.690620716
8/3/2016	11:40	2.700686492
8/3/2016	11:45	2.710752268
8/3/2016	11:50	2.720818044
8/3/2016	11:55	2.73088382
8/3/2016	12:00	2.740949596
8/3/2016	12:05	2.73088382
8/3/2016	12:10	2.720818044
8/3/2016	12:15	2.710752268
8/3/2016	12:20	2.700686492
8/3/2016	12:25	2.690620716
8/3/2016	12:30	2.68055494
8/3/2016	12:35	2.670489164
8/3/2016	12:40	2.660423388
8/3/2016	12:45	2.650357612
8/3/2016	12:50	2.640291836
8/3/2016	12:55	2.63022606
8/3/2016	13:00	2.620160284
8/3/2016	13:05	2.610094508
8/3/2016	13:10	2.600028732
8/3/2016	13:15	2.589962956
8/3/2016	13:20	2.57989718
8/3/2016	13:25	2.569831404
8/3/2016	13:30	2.559765628
8/3/2016	13:35	2.549699852
8/3/2016	13:40	2.539634076
8/3/2016	13:45	2.5295683
8/3/2016	13:50	2.519502523
8/3/2016	13:55	2.509436747
8/3/2016	14:00	2.499370971
8/3/2016	14:05	2.489305195
8/3/2016	14:10	2.479239419
8/3/2016	14:15	2.469173643
8/3/2016	14:20	2.459107867
8/3/2016	14:25	2.449042091
8/3/2016	14:30	2.438976315
8/3/2016	14:35	2.428910539
8/3/2016	14:40	2.418844763
8/3/2016	14:45	2.408778987
8/3/2016	14:50	2.398713211
8/3/2016	14:55	2.388647435
8/3/2016	15:00	2.378581659
8/3/2016	15:05	2.368515883
8/3/2016	15:10	2.358450107
8/3/2016	15:15	2.348384331
8/3/2016	15:20	2.338318555
8/3/2016	15:25	2.328252779
8/3/2016	15:30	2.318187003
8/3/2016	15:35	2.308121227
8/3/2016	15:40	2.298055451
8/3/2016	15:45	2.287989675
8/3/2016	15:50	2.277923899
8/3/2016	15:55	2.267858123
8/3/2016	16:00	2.257792347
8/3/2016	16:05	2.247726571
8/3/2016	16:10	2.237660795
8/3/2016	16:15	2.227595019
8/3/2016	16:20	2.217529243
8/3/2016	16:25	2.207463467
8/3/2016	16:30	2.197397691
8/3/2016	16:35	2.187331915
8/3/2016	16:40	2.177266139
8/3/2016	16:45	2.167200363
8/3/2016	16:50	2.157134587
8/3/2016	16:55	2.147068811
8/3/2016	17:00	2.137003035
8/3/2016	17:05	2.126937259
8/3/2016	17:10	2.116871483
8/3/2016	17:15	2.106805707
8/3/2016	17:20	2.096739931
8/3/2016	17:25	2.086674155
8/3/2016	17:30	2.076608379
8/3/2016	17:35	2.066542603
8/3/2016	17:40	2.056476827
8/3/2016	17:45	2.046411051
8/3/2016	17:50	2.036345275
8/3/2016	17:55	2.026279499
8/3/2016	18:00	2.016213723
8/3/2016	18:05	2.006147946
8/3/2016	18:10	1.99608217
8/3/2016	18:15	1.986016394
8/3/2016	18:20	1.975950618
8/3/2016	18:25	1.965884842
8/3/2016	18:30	1.955819066
8/3/2016	18:35	1.94575329
8/3/2016	18:40	1.935687514
8/3/2016	18:45	1.925621738
8/3/2016	18:50	1.915555962
8/3/2016	18:55	1.905490186
8/3/2016	19:00	1.89542441
8/3/2016	19:05	1.885358634
8/3/2016	19:10	1.875292858
8/3/2016	19:15	1.865227082
8/3/2016	19:20	1.855161306
